Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Austria,AUT,Control of Corruption: Estimate,CC.EST,1.47778916358948
Austria,AUT,Government Effectiveness: Estimate,GE.EST,1.60626363754272
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.887528836727142
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,1.39522731304169
Austria,AUT,Rule of Law: Estimate,RL.EST,1.77016341686249
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.44595634937286
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.07878303527832
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.521023035049438
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.34363579750061
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.3280041217804
Croatia,HRV,Control of Corruption: Estimate,CC.EST,0.177089244127274
Croatia,HRV,Government Effectiveness: Estimate,GE.EST,0.425023794174194
Croatia,HRV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.607223808765411
Croatia,HRV,Regulatory Quality: Estimate,RQ.EST,0.36231455206871
Croatia,HRV,Rule of Law: Estimate,RL.EST,0.236004218459129
Cyprus,CYP,Control of Corruption: Estimate,CC.EST,0.349622398614883
Cyprus,CYP,Government Effectiveness: Estimate,GE.EST,0.839920282363892
Cyprus,CYP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.288732588291168
Cyprus,CYP,Regulatory Quality: Estimate,RQ.EST,0.993247628211975
Cyprus,CYP,Rule of Law: Estimate,RL.EST,0.547705590724945
Czechia,CZE,Control of Corruption: Estimate,CC.EST,0.555802822113037
Czechia,CZE,Government Effectiveness: Estimate,GE.EST,0.911170899868011
Czechia,CZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.912254869937897
Czechia,CZE,Regulatory Quality: Estimate,RQ.EST,1.23466849327087
Czechia,CZE,Rule of Law: Estimate,RL.EST,1.0194536447525
Estonia,EST,Control of Corruption: Estimate,CC.EST,1.58086550235748
Estonia,EST,Government Effectiveness: Estimate,GE.EST,1.29915964603424
Estonia,EST,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.709752976894379
Estonia,EST,Regulatory Quality: Estimate,RQ.EST,1.52953481674194
Estonia,EST,Rule of Law: Estimate,RL.EST,1.33646464347839
Finland,FIN,Control of Corruption: Estimate,CC.EST,2.17063069343567
Finland,FIN,Government Effectiveness: Estimate,GE.EST,1.90141117572784
Finland,FIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.981748819351196
Finland,FIN,Regulatory Quality: Estimate,RQ.EST,1.85089826583862
Finland,FIN,Rule of Law: Estimate,RL.EST,2.0209972858429
Germany,DEU,Control of Corruption: Estimate,CC.EST,1.82571387290955
Germany,DEU,Government Effectiveness: Estimate,GE.EST,1.31406188011169
Germany,DEU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.644988059997559
Germany,DEU,Regulatory Quality: Estimate,RQ.EST,1.57793474197388
Germany,DEU,Rule of Law: Estimate,RL.EST,1.51979923248291
Greece,GRC,Control of Corruption: Estimate,CC.EST,0.0320753939449787
Greece,GRC,Government Effectiveness: Estimate,GE.EST,0.403194963932037
Greece,GRC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.115144267678261
Greece,GRC,Regulatory Quality: Estimate,RQ.EST,0.53649765253067
Greece,GRC,Rule of Law: Estimate,RL.EST,0.289413630962372
France,FRA,Control of Corruption: Estimate,CC.EST,1.12234926223755
France,FRA,Government Effectiveness: Estimate,GE.EST,1.2046355009079
France,FRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.280948132276535
France,FRA,Regulatory Quality: Estimate,RQ.EST,1.18946194648743
France,FRA,Rule of Law: Estimate,RL.EST,1.29722630977631
Hungary,HUN,Control of Corruption: Estimate,CC.EST,0.069760337471962
Hungary,HUN,Government Effectiveness: Estimate,GE.EST,0.538772940635681
Hungary,HUN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.836977124214172
Hungary,HUN,Regulatory Quality: Estimate,RQ.EST,0.469366848468781
Hungary,HUN,Rule of Law: Estimate,RL.EST,0.490737408399582
Iceland,ISL,Control of Corruption: Estimate,CC.EST,1.667649269104
Iceland,ISL,Government Effectiveness: Estimate,GE.EST,1.47633063793182
Iceland,ISL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.37493765354156
Iceland,ISL,Regulatory Quality: Estimate,RQ.EST,1.44301211833954
Iceland,ISL,Rule of Law: Estimate,RL.EST,1.75132393836975
Latvia,LVA,Control of Corruption: Estimate,CC.EST,0.693269371986389
Latvia,LVA,Government Effectiveness: Estimate,GE.EST,0.838279902935028
Latvia,LVA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.462128847837448
